code,name,origin,packing,unit,category,subcategory,brand,tags
105,Pecan Nuts 1kg,UAE,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
106,Almond Whole Nuts 1kg,USA,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
107,Almond Slice Nuts 1kg,USA,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
108,Almond Powder Nuts 1kg,USA,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
109,Pistachio Slice 1kg,UAE,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
110,Pistachio Whole 1kg,UAE,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
111,Pistachio Whole With Shell 1kg,UAE,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
112,Pistachio Powder 1kg,UAE,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
113,Walnut Nuts With Shell 1kg,USA,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
114,Walnut Nuts 1kg,USA,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
115,Dry Fig 1kg,Turkey,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
116,Hazelnut Nuts 1kg,UAE,1KGx1PKT,PKT,Spices & Nuts,Nuts,ARCO Nuts,
117,Oman Chips Family Pack,Oman,Various sizes,PKT,Snacks & Confectionery,Chips & Crisps,Oman Chips,
118,Master Kettle Cooked Salt Potato Chips 170g,Lebanon,Various sizes,PKT,Snacks & Confectionery,Chips & Crisps,Master,
119,Master Kettle Cooked Salt & Vinegar Potato Chips 170g,Lebanon,Various sizes,PKT,Snacks & Confectionery,Chips & Crisps,Master,
120,Batato's Classic Salted Chips 167g,Qatar,Various sizes,PKT,Snacks & Confectionery,Chips & Crisps,Batato's,local
121,Doritos Chips Nacho Cheese 180g,KSA / USA / India,Various sizes,PKT,Snacks & Confectionery,Chips & Crisps,Doritos,
